City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,whitehorse,60.7161,-135.0538,68.77,60,20,4.61,CA,1721713851
238,san andres,12.5847,-81.7006,84.22,79,20,13.8,CO,1721713680
239,budva,42.2864,18.84,86.95,53,0,5.75,ME,1721713852
240,fengxiang,47.5833,130.8333,85.87,49,89,9.01,CN,1721713852
241,dryden,49.7833,-92.7503,59.29,88,0,8.05,CA,1721713852
242,raja,8.4596,25.678,71.46,96,96,6.31,SS,1721713852
243,namibe,-15.1961,12.1522,57.87,90,25,7.85,AO,1721713852
244,farafangana,-22.8167,47.8333,70.7,76,19,3.36,MG,1721713852
245,peace river,56.2501,-117.286,66.51,94,100,11.5,CA,1721713853
246,iquique,-20.2208,-70.1431,60.84,78,42,5.01,CL,1721713634
247,whangarei,-35.7317,174.3239,52.32,72,3,8.5,NZ,1721713853
248,ordynskoye,54.3656,81.8994,74.16,65,73,4.97,RU,1721713853
249,tarinkot,32.6268,65.8733,98.35,8,0,5.88,AF,1721713847
250,sarikei,2.1167,111.5167,95.94,42,92,4.36,MY,1721713853
251,anadyr,64.75,177.4833,63.1,59,0,22.37,RU,1721713853
252,halifax,44.6453,-63.5724,64.29,76,95,5.75,CA,1721713854
253,hotan,37.0997,79.9269,91.9,23,12,11.9,CN,1721713854
254,pirallahi,40.4723,50.333,87.94,54,0,1.99,AZ,1721713854
255,santaquin,39.9755,-111.7852,77.18,35,4,4.68,US,1721713854
256,bossangoa,6.4926,17.4552,70.56,86,99,2.33,CF,1721713854
257,jiangyou,31.7667,104.7167,85.86,76,100,5.95,CN,1721713855
258,alice springs,-23.7,133.8833,72.95,15,0,12.66,AU,1721713855
259,awjilah,29.1081,21.2869,86.58,31,4,6.24,LY,1721713855
260,badiyah,22.45,58.8,96.82,37,89,6.96,OM,1721713855
261,manaure,11.7751,-72.4445,81.52,78,30,15.3,CO,1721713855
262,kendari,-3.945,122.4989,85.55,55,67,5.84,ID,1721713855
263,horta,38.5333,-28.6333,69.03,82,0,5.99,PT,1721713855
264,ribeira grande,38.5167,-28.7,69.78,82,0,5.99,PT,1721713856
265,saint-philippe,-21.3585,55.7679,78.39,66,24,5.88,RE,1721713856
266,vila franca do campo,37.7167,-25.4333,70.21,99,0,4.9,PT,1721713856
267,mitu,1.1983,-70.1733,69.57,100,72,2.15,CO,1721713856
268,alness,57.696,-4.2551,55.69,94,79,2.59,GB,1721713856
269,tarko-sale,64.9225,77.785,56.44,46,100,15.28,RU,1721713856
270,ifrane,33.3333,-5.25,75.54,28,60,4.18,MA,1721713856
271,qarazhal,48.0078,70.7903,85.17,30,100,4.14,KZ,1721713857
272,weno,7.4515,151.8468,87.75,89,75,5.75,FM,1721713857
273,nizhneangarsk,55.7833,109.55,70.83,59,93,5.32,RU,1721713857
274,palmer,42.1584,-72.3287,73.0,80,100,0.0,US,1721713857
275,colonia,50.9333,6.95,69.82,77,0,8.05,DE,1721713857
276,puerto baquerizo moreno,-0.9,-89.6,69.55,84,87,11.12,EC,1721713857
277,grand baie,-20.0182,57.5802,77.43,74,2,1.99,MU,1721713857
278,taltal,-25.4,-70.4833,55.36,79,1,1.74,CL,1721713857
279,kantabanji,20.4833,82.9167,77.0,89,100,13.58,IN,1721713858
280,melfort,52.8667,-104.6177,59.13,88,45,5.75,CA,1721713858
281,al jawf,29.5,38.75,87.26,23,0,11.77,SA,1721713858
282,dunedin,-45.8742,170.5036,48.79,72,86,5.99,NZ,1721713858
283,lauro de freitas,-12.8944,-38.3272,77.02,65,75,10.36,BR,1721713858
284,sigli,5.3848,95.9609,89.46,54,84,8.41,ID,1721713858
285,karratha,-20.7377,116.8463,76.93,40,0,10.87,AU,1721713858
286,boa vista,2.8197,-60.6733,75.18,94,40,2.3,BR,1721713859
287,thisted,56.9552,8.6949,60.21,83,65,7.65,DK,1721713859
288,perevoz,55.5961,44.5446,63.84,56,0,13.27,RU,1721713859
289,puerto deseado,-47.7503,-65.8938,46.18,83,100,11.27,AR,1721713859
290,la rioja,42.25,-2.5,55.18,63,2,5.12,ES,1721713752
291,polyarnyy,69.1989,33.4478,66.6,52,89,8.5,RU,1721713859
292,san luis de la loma,17.2706,-100.8939,78.01,86,97,5.23,MX,1721713859
293,kingston,17.997,-76.7936,79.16,84,4,2.15,JM,1721713520
294,angra do heroismo,38.65,-27.2167,72.21,84,75,3.33,PT,1721713860
295,tumaco,1.7986,-78.8156,76.68,89,100,9.55,CO,1721713860
296,lady frere,-31.7031,27.2329,46.98,20,75,8.3,ZA,1721713860
297,trikala,39.5553,21.7675,81.81,48,2,4.63,GR,1721713860
298,tank,32.2217,70.3793,105.03,28,52,3.24,PK,1721713860
299,luau,-10.7073,22.2247,64.36,29,0,5.1,AO,1721713860
300,monrovia,6.3005,-10.7969,74.97,83,96,9.1,LR,1721713861
301,ketchikan,55.3422,-131.6461,59.47,77,100,0.0,US,1721713861
302,zhangjiakou,40.81,114.8794,98.02,22,0,7.09,CN,1721713861
303,nieuw amsterdam,5.8833,-55.0833,78.96,93,100,7.49,SR,1721713861
304,labytnangi,66.6572,66.4183,54.93,54,100,12.62,RU,1721713861
305,susuman,62.7833,148.1667,78.53,42,70,7.94,RU,1721713817
306,petukhovo,55.0692,67.9019,68.68,83,80,4.59,RU,1721713861
307,svetlyy,54.675,20.1347,68.05,90,88,13.31,RU,1721713862
308,lorengau,-2.0226,147.2712,80.2,85,100,8.16,PG,1721713862
309,usogorsk,63.4106,48.6872,68.09,51,92,7.2,RU,1721713862
310,illizi,26.4833,8.4667,84.0,13,1,3.67,DZ,1721713862
311,kiunga,-6.1219,141.2906,77.86,96,86,4.41,PG,1721713862
312,pisco,-13.7,-76.2167,56.01,88,0,5.75,PE,1721713862
313,edd,13.9297,41.6925,96.46,46,97,7.2,ER,1721713862
314,princeville,45.7668,-61.2985,65.32,72,0,3.44,CA,1721713863
315,st. john's,47.5649,-52.7093,59.27,92,20,13.8,CA,1721713863
316,kristiansund,63.1115,7.732,57.25,96,75,0.0,NO,1721713863
317,hailar,49.2,119.7,83.59,42,100,9.64,CN,1721713863
318,mandalgovi,45.7625,106.2708,79.3,36,60,11.41,MN,1721713863
319,puerto colombia,10.9878,-74.9547,82.49,83,75,19.04,CO,1721713863
320,el calafate,-50.3408,-72.2768,36.77,87,27,3.51,AR,1721713863
321,verkhnevilyuysk,63.4453,120.3167,64.96,55,77,5.5,RU,1721713863
322,shimoda,34.6667,138.95,92.1,72,0,13.33,JP,1721713864
323,freetown,8.484,-13.2299,76.46,88,87,8.25,SL,1721713864
324,pontes e lacerda,-15.2261,-59.3353,66.69,43,2,3.47,BR,1721713864
325,borogontsy,62.6683,131.1683,80.8,42,7,5.91,RU,1721713864
326,lerwick,60.1545,-1.1494,53.6,83,43,5.93,GB,1721713864
327,tonghae,37.5439,129.1069,85.1,65,25,9.89,KR,1721713865
328,ingeniero jacobacci,-41.3427,-69.5448,46.74,58,59,2.15,AR,1721713865
329,tura,25.5198,90.2201,84.04,75,99,5.41,IN,1721713865
330,ola,59.5833,151.2833,64.38,77,29,6.55,RU,1721713865
331,harper,4.375,-7.7169,74.37,84,100,5.19,LR,1721713865
332,molochnoye,59.2917,39.6787,66.97,61,6,5.39,RU,1721713865
333,ancud,-41.8697,-73.8203,44.76,94,89,1.79,CL,1721713662
334,xilin hot,43.9667,116.0333,88.56,33,29,12.17,CN,1721713865
335,phongsali,21.6833,102.1058,81.66,59,96,4.92,LA,1721713866
336,leduc,53.2668,-113.552,76.48,77,75,18.41,CA,1721713677
337,north bend,43.4065,-124.2243,57.25,88,0,21.85,US,1721713866
338,morant bay,17.8815,-76.4093,79.43,86,1,6.89,JM,1721713866
339,progreso,21.2833,-89.6667,80.96,87,79,10.07,MX,1721713866
340,la'ie,21.6477,-157.9253,80.56,81,8,8.99,US,1721713866
341,vilyuchinsk,52.9306,158.4028,59.27,94,100,6.44,RU,1721713867
342,los llanos de aridane,28.6585,-17.9182,67.75,96,100,16.11,ES,1721713867
343,coquimbo,-29.9533,-71.3436,55.13,82,100,2.3,CL,1721713749
344,antigo,45.1402,-89.1523,63.05,94,100,0.0,US,1721713867
345,bubaque,11.2833,-15.8333,79.77,85,86,13.13,GW,1721713867
346,shingu,33.7333,135.9833,91.11,57,0,11.43,JP,1721713867
347,olinda,-8.0089,-34.8553,78.53,69,75,10.36,BR,1721713743
348,cova figueira,14.8905,-24.2934,66.02,86,84,5.03,CV,1721713867
349,fort bragg,35.139,-79.006,76.84,91,75,5.75,US,1721713868
350,muynoq,43.7683,59.0214,88.95,35,28,12.17,UZ,1721713868
351,levuka,50.1834,-105.4011,62.31,73,1,10.04,CA,1721713868
352,pangai,-19.8,-174.35,77.11,78,20,6.91,TO,1721713868
353,utica,43.1009,-75.2327,69.08,93,100,3.4,US,1721713835
354,scottburgh,-30.2867,30.7532,57.83,72,28,6.02,ZA,1721713869
355,tsiombe,-25.3,45.4833,71.22,66,53,10.58,MG,1721713869
356,mili,6.0815,171.735,81.95,80,100,7.72,MH,1721713869
357,ponta delgada,37.7333,-25.6667,70.52,88,40,10.36,PT,1721713869
358,bogatoye,53.0601,51.3325,61.79,73,100,8.43,RU,1721713869
359,sakaraha,-22.9,44.5333,67.59,47,0,3.22,MG,1721713869
360,roccella ionica,38.322,16.4009,80.53,65,2,11.23,IT,1721713869
361,nanyuki,0.0167,37.0728,62.2,64,35,5.14,KE,1721713869
362,mendi,-6.1761,143.6513,59.4,99,100,2.24,PG,1721713870
363,paracuru,-3.41,-39.0306,78.12,77,7,14.65,BR,1721713870
364,haiku-pauwela,20.9219,-156.3051,77.22,82,40,16.11,US,1721713870
365,godda,24.8333,87.2167,90.43,65,100,16.15,IN,1721713870
